序号,任务标题,任务详述,网址,班级
1,纯CSS3制作的Tab选项卡,主要使用表单的单选按钮来实现这个TAB显示和隐藏,http://www.shejidaren.com/css3-tabs.html,2013级软件工程（移动方向）二班
2,CSS3实用交互效果：按钮和导航菜单动画展示,CSS3实用交互效果：按钮和导航菜单动画展示,http://www.shejidaren.com/css3-button-and-menu-examples-width-animations.html,2013级软件工程（移动方向）二班
3,简单CSS3实现炫酷读者墙,详细解说：简单CSS3实现炫酷读者墙,http://www.daqianduan.com/3943.html,2013级软件工程（移动方向）二班
4,CSS3动画-wordpress读者墙,用CSS3写一个不错的wordpress读者墙,http://www.daqianduan.com/3746.html,2013级软件工程（移动方向）二班
5,视差滚动的爱情故事,利用JavaScript和CSS实现视差滚动的一些效果,http://www.alloyteam.com/2014/01/parallax-scrolling-love-story/,2013级软件工程（移动方向）二班
6,女神级的HTML5 CSS3的图片轮播器,一个国人写的开源的图片轮播器，学习其使用方法,http://www.alloyteam.com/2013/11/switch-tutorial-found-a-goddess-class-html5-css3-picture-carousel-unit-with-code/,2013级软件工程（移动方向）二班
7,用CSS3和第三方库提升图片浏览体验,用CSS3和第三方库提升图片浏览体验,http://www.alloyteam.com/2013/12/css-and-third-party-libraries-used-to-improve-image-browsing-experience/,2013级软件工程（移动方向）二班
8,CSS3 Transform的perspective属性,CSS3 Transform的perspective属性的学习教程,http://www.alloyteam.com/2012/10/the-css3-transform-perspective-property/,2013级软件工程（移动方向）二班
9,用CSS美化你的滚动条,如何用CSS修改/美化浏览器页面上出现的滚动条,http://www.webhek.com/scrollbar,2013级软件工程（移动方向）二班
10,图片边框border-image的用法,图片边框border-image的语法和用法教程,http://www.webhek.com/border-image,2013级软件工程（移动方向）二班
11,伪元素:before和:after的精彩用法,CSS伪元素:before和:after的用法教程,http://www.webhek.com/great-usage-of-before-and-after,2013级软件工程（移动方向）二班
12,如何用jQuery来移动景图达到具有动画视觉效果的内容,一个HTML5视差教程,http://www.webhek.com/jquery-parallax-tutorial,2013级软件工程（移动方向）二班
13,CSS3滚动视差效果的制作技巧,CSS3滚动视差效果的制作技巧,http://www.webhek.com/parallax,2013级软件工程（移动方向）二班
14,CSS发抖,利用CSS实现发抖的效果,http://www.webhek.com/misc/css-shake,2013级软件工程（移动方向）二班
15,网络字体的中文用法,CSS中网络字体的中文用法,http://www.webhek.com/web-font-chinese,2013级软件工程（移动方向）二班
16,使用视频作为网页背景的技术探讨,利用CSS属性使用视频作为网页背景的技术探讨,http://www.webhek.com/video-background,2013级软件工程（移动方向）二班
17,CSS渐变色效果的实现方法与效果演示,CSS渐变色效果的实现方法与效果演示教程,http://www.webhek.com/css-gradients,2013级软件工程（移动方向）二班
18,纯CSS3动画按钮效果 5种漂亮样式,纯CSS3动画按钮效果 5种漂亮样式的教程,http://www.html5tricks.com/css3-animation-button-5-styles.html,2013级软件工程（移动方向）二班
19,用CSS3美化半个字符巧妙方法,用CSS3美化半个字符巧妙方法教程,http://www.html5tricks.com/css3-half-character.html,2013级软件工程（移动方向）二班
20,CSS3图片倒影技术实现及原理,CSS3图片倒影技术实现及原理教程,http://www.html5tricks.com/css3-image-reflection.html,2013级软件工程（移动方向）二班
21,CSS3的Background-size很重要,CSS3的Background-size属性的教程,http://www.html5tricks.com/css3-background-size.html,2013级软件工程（移动方向）二班
22,JavaScript 图片截取效果,JavaScript 图片截取效果教程,http://www.w3cfuns.com/article-5599909-1-1.html,2013级软件工程（移动方向）二班
23,win8九宫格布局鼠标悬停滑出文字,win8九宫格布局鼠标悬停滑出文字效果,http://www.w3cfuns.com/article-5599647-1-1.html,2013级软件工程（移动方向）二班
24,html5 3d 翻转展示,html5 3d 翻转展示效果,http://www.w3cfuns.com/article-5599639-1-1.html,2013级软件工程（移动方向）二班
25,涨姿势！CSS3动画帧数科学计算法,CSS3动画帧数科学计算法的教程,http://www.w3cfuns.com/article-1321-1.html,2013级软件工程（移动方向）二班
26,css3带动画效果的漂亮的按钮,css3带动画效果的漂亮的按钮效果,http://www.w3cfuns.com/article-5599538-1-1.html,2013级软件工程（移动方向）二班
27,HTML5技术<video>实现3D影院,HTML5技术<video>实现3D影院效果,http://www.w3cfuns.com/article-5596323-1-1.html,2013级软件工程（移动方向）二班
28,HTML5幻灯片,HTML5幻灯片效果,http://www.w3cfuns.com/article-5596235-1-1.html,2013级软件工程（移动方向）二班
29,CSS3 倾斜的网页图片库,CSS3 倾斜的网页图片库实例教程,http://www.w3cfuns.com/article-5593823-1-1.html,2013级软件工程（移动方向）二班
30,Css clip+transition制作裁剪动画,Css clip+transition制作裁剪动画教程,http://www.w3cfuns.com/article-5601314-1-1.html,2013级软件工程（移动方向）二班
31,CSS Background-origin的使用,CSS Background-origin教程,http://www.w3cplus.com/content/css-background-origin,2013级软件工程（移动方向）二班
32,CSS3 Animation制作,CSS3 Animation动画制作教程,http://www.w3cplus.com/content/css3-animation,2013级软件工程（移动方向）二班
33,CSS3 Transition属性,CSS3 Transition属性教程,http://www.w3cplus.com/content/css3-transition,2013级软件工程（移动方向）二班
34,CSS3 Transform学习,CSS3 Transform属性教程,http://www.w3cplus.com/content/css3-transform,2013级软件工程（移动方向）一班
35,CSS3 Gradient学习,CSS3 Gradient属性教程：制作渐变图片,http://www.w3cplus.com/content/css3-gradient,2013级软件工程（移动方向）一班
36,CSS3 Ribbons制作,CSS3 Ribbons效果制作教程,http://www.w3cplus.com/css3/css3-ribbons,2013级软件工程（移动方向）一班
37,CSS3 制作文字特效,CSS3 制作文字特效教程,http://www.w3cplus.com/css3/text-effect,2013级软件工程（移动方向）一班
38,CSS3制作超酷的SearchBox,CSS3制作超酷的SearchBox教程,http://www.w3cplus.com/css3/create-search-box-with-css3-and-html5,2013级软件工程（移动方向）一班
39,CSS3美化有序列表,CSS3美化有序列表教程,http://www.w3cplus.com/css3/css3-ordered-list-styles,2013级软件工程（移动方向）一班
40,CSS3制作表单动态帮助信息,CSS3制作表单动态帮助信息教程,http://www.w3cplus.com/css3/pure-css3-create-sliding-form-helps,2013级软件工程（移动方向）一班
41,CSS3制作Breadcrumbs,CSS3制作Breadcrumbs教程,http://www.w3cplus.com/css3/css3-breadcrumbs,2013级软件工程（移动方向）一班
42,纯CSS3制作Tabs选项卡,纯CSS3制作Tabs选项卡教程,http://www.w3cplus.com/css3/pure-css3-create-tabs,2013级软件工程（移动方向）一班
43,CSS3制作价格表,CSS3制作价格表的案例教程,http://www.w3cplus.com/demo/724.html,2013级软件工程（移动方向）一班
44,CSS3制作迷你播放器面板,CSS3制作迷你播放器面板教程,http://www.w3cplus.com/demo/720.html,2013级软件工程（移动方向）一班
45,太棒了！mask 轻松构建炫酷CSS探照特效！,操作四个图片遮罩层 mask实现动画探照灯效果,http://www.w3cplus.com/demo/681.html,2013级软件工程（移动方向）一班
46,CSS3制作登录表单,CSS3制作漂亮风格的登录表单教程,http://www.w3cplus.com/demo/648.html,2013级软件工程（移动方向）一班
47,CSS3制作莲花开放,CSS3制作莲花开放效果,http://www.w3cplus.com/demo/623.html,2013级软件工程（移动方向）一班
48,用CSS3进行Toolbar Menu的制作,Toolbar Menu的制作教程,http://www.w3cplus.com/demo/590.html,2013级软件工程（移动方向）一班
49,CSS3制作下拉菜单,CSS3制作下拉菜单教程,http://www.w3cplus.com/demo/576.html,2013级软件工程（移动方向）一班
50,Pure CSS3 Circle Menu效果,Pure CSS3 Circle Menu效果教程,http://www.w3cplus.com/demo/574.html,2013级软件工程（移动方向）一班
51,CSS3写的文字发光和动画的案例,CSS3写的文字发光和动画的案例教程,http://www.w3cplus.com/demo/565.html,2013级软件工程（移动方向）一班
52,CSS3 Animation Breadcrumbs效果,CSS3 Animation Breadcrumbs教程,http://www.w3cplus.com/demo/559.html,2013级软件工程（移动方向）一班
53,Pure CSS3 Lavalamp Menu菜单,Pure CSS3 Lavalamp Menu菜单效果教程,http://www.w3cplus.com/demo/544.html,2013级软件工程（移动方向）一班
54,Pure CSS3 Accordion Slider效果,Pure CSS3 Accordion Slider效果制作教程,http://www.w3cplus.com/demo/543.html,2013级软件工程（移动方向）一班
55,CSS3制作手风琴菜单,CSS3制作手风琴菜单教程,http://www.w3cplus.com/demo/542.html,2013级软件工程（移动方向）一班
56,CSS3 Full Background Slider效果制作,CSS3 Full Background Slider效果教程,http://www.w3cplus.com/demo/529.html,2013级软件工程（移动方向）一班
57,Pure CSS3 Animation Menu效果,Pure CSS3 Animation Menu菜单效果教程,http://www.w3cplus.com/demo/518.html,2013级软件工程（移动方向）一班
58,CSS3制作秒表,CSS3制作秒表教程,http://www.w3cplus.com/demo/517.html,2013级软件工程（移动方向）一班
59,CSS3 Letter动态展开,CSS3 Letter动态展开效果教程,http://www.w3cplus.com/demo/514.html,2013级软件工程（移动方向）一班
60,Pure CSS3 3D Buttons按钮制作,Pure CSS3 3D Buttons按钮制作教程,http://www.w3cplus.com/demo/501.html,2013级软件工程（移动方向）一班
61,Codrops CSS3 Lightbox 3效果制作,Codrops CSS3 Lightbox 3效果制作教程,http://www.w3cplus.com/demo/499.html,2013级软件工程（移动方向）一班
62,Codrops CSS3 Lightbox 2效果制作,Codrops CSS3 Lightbox 2效果制作教程,http://www.w3cplus.com/demo/494.html,2013级软件工程（移动方向）一班
63,Codrops CSS3 Lightbox2效果制作,Codrops CSS3 Lightbox2效果制作教程,http://www.w3cplus.com/demo/492.html,2013级软件工程（移动方向）一班
64,CSS3制作Lightbox效果,CSS3制作Lightbox效果制作教程,http://www.w3cplus.com/demo/486.html,2013级软件工程（移动方向）一班
65,CSS3制作3D表单,CSS3的3D表单制作教程,http://www.w3cplus.com/demo/458.html,2013级软件工程（移动方向）一班
66,CSS3制作卷角菜单,CSS3制作卷角菜单教程,http://www.w3cplus.com/demo/456.html,2013级软件工程（移动方向）一班
67,CSS3制作时钟,CSS3制作时钟教程,http://www.w3cplus.com/demo/443.html,2013级软件工程（移动方向）一班
68,css3动画――垃圾桶,css3动画――垃圾桶的制作,http://www.w3cplus.com/demo/442.html,2013级软件工程（移动方向）一班
69,一种css3 3D动画效果,一种css3 3D动画效果的制作,http://www.w3cplus.com/demo/422.html,2013级软件工程（移动方向）一班
70,纯css3列表切换动画,纯css3列表切换动画的制作教程,http://www.w3cplus.com/demo/416.html,2013级软件工程（移动方向）一班
